rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,x_pos,y_pos,,,,,,,,,
-66,-56,-61,-55,-42,-66,-62,-61,3.5,4,,,,,,,,,
-60,-77,-71,-64,-44,-65,-64,-61,3.5,4,,,,,,,,,
-61,-78,-65,-55,-45,-65,-62,-64,3.5,4,,,,,,,,,
-61,-56,-61,-55,-42,-65,-61,-60,3.5,4,,,,,,,,,
-61,-78,-65,-55,-44,-62,-61,-64,3.5,4,,,,,,,,,
-61,-56,-60,-56,-42,-65,-62,-61,3.5,4,,,,,,,,,
-61,-79,-60,-55,-45,-65,-61,-64,3.5,4,,,,,,,,,
-61,-69,-65,-55,-45,-63,-62,-64,3.5,4,,,,,,,,,
-62,-90,-66,-61,-42,-65,-61,-64,3.5,4,,,,,,,,,
-58,-58,-66,-59,-44,-65,-63,-58,3.5,4,,,,,,,,,
-62,-78,-61,-53,-42,-65,-61,-67,3.5,4,,,,,,,,,
-66,-59,-62,-56,-42,-66,-63,-60,3.5,4,,,,,,,,,
-62,-69,-64,-59,-44,-65,-61,-59,3.5,4,,,,,,,,,
-63,-72,-65,-52,-45,-63,-55,-66,3.5,4,,,,,,,,,
-70,-58,-63,-54,-43,-64,-61,-65,3.5,4,,,,,,,,,
-69,-57,-78,-55,-42,-63,-61,-62,3.5,4,,,,,,,,,
-62,-63,-65,-56,-41,-69,-62,-59,3.5,4,,,,,,,,,
-63,-65,-77,-53,-41,-69,-62,-64,3.5,4,,,,,,,,,
-63,-58,-61,-54,-42,-61,-62,-64,3.5,4,,,,,,,,,
-63,-58,-62,-57,-41,-61,-62,-59,3.5,4,,,,,,,,,
-58,-63,-64,-59,-40,-69,-61,-66,3.5,4,,,,,,,,,
-61,-77,-65,-57,-42,-61,-62,-62,3.5,4,,,,,,,,,
-67,-58,-61,-55,-42,-70,-61,-64,3.5,4,,,,,,,,,
-61,-67,-76,-56,-45,-70,-61,-64,3.5,4,,,,,,,,,
-61,-76,-75,-63,-45,-61,-62,-62,3.5,4,,,,,,,,,
-67,-77,-65,-55,-42,-61,-64,-60,3.5,4,,,,,,,,,
-58,-67,-75,-57,-42,-71,-61,-64,3.5,4,,,,,,,,,
-61,-67,-76,-62,-44,-61,-62,-64,3.5,4,,,,,,,,,
-67,-74,-64,-54,-42,-61,-63,-60,3.5,4,,,,,,,,,
-60,-58,-62,-57,-42,-77,-60,-59,3.5,4,,,,,,,,,
-59,-67,-61,-56,-42,-78,-62,-66,3.5,4,,,,,,,,,
-61,-71,-73,-53,-42,-61,-61,-65,3.5,4,,,,,,,,,
-60,-75,-65,-55,-42,-62,-62,-65,3.5,4,,,,,,,,,
-68,-58,-65,-54,-42,-69,-61,-59,3.5,4,,,,,,,,,
-60,-66,-73,-59,-45,-61,-62,-66,3.5,4,,,,,,,,,
-61,-71,-72,-61,-42,-61,-64,-65,3.5,4,,,,,,,,,
-66,-58,-66,-55,-42,-71,-61,-65,3.5,4,,,,,,,,,
-58,-58,-66,-61,-42,-70,-61,-60,3.5,4,,,,,,,,,
-59,-66,-62,-58,-44,-61,-62,-65,3.5,4,,,,,,,,,
-60,-70,-62,-57,-44,-62,-62,-59,3.5,4,,,,,,,,,
-67,-58,-73,-53,-43,-70,-63,-65,3.5,4,,,,,,,,,
-59,-66,-62,-57,-42,-61,-61,-59,3.5,4,,,,,,,,,
-67,-70,-73,-61,-45,-70,-62,-59,3.5,4,,,,,,,,,
-68,-58,-72,-66,-41,-61,-63,-66,3.5,4,,,,,,,,,
-60,-67,-62,-57,-44,-64,-62,-59,3.5,4,,,,,,,,,
-70,-80,-71,-60,-38,-62,-62,-65,3.5,4,,,,,,,,,
-60,-58,-65,-53,-42,-62,-62,-65,3.5,4,,,,,,,,,
-61,-66,-72,-63,-41,-60,-61,-66,3.5,4,,,,,,,,,
-59,-58,-61,-57,-46,-83,-61,-65,3.5,4,,,,,,,,,
-67,-80,-70,-62,-45,-61,-61,-59,3.5,4,,,,,,,,,
-59,-57,-71,-53,-42,-63,-63,-65,3.5,4,,,,,,,,,
-59,-65,-66,-56,-42,-65,-61,-63,3.5,4,,,,,,,,,
-59,-72,-65,-61,-45,-63,-62,-58,3.5,4,,,,,,,,,
-67,-58,-71,-62,-41,-61,-62,-66,3.5,4,,,,,,,,,
-58,-65,-62,-56,-45,-69,-62,-62,3.5,4,,,,,,,,,
-67,-58,-66,-61,-41,-64,-61,-66,3.5,4,,,,,,,,,
-58,-65,-62,-56,-44,-68,-61,-63,3.5,4,,,,,,,,,
-61,-78,-65,-63,-44,-68,-62,-63,3.5,4,,,,,,,,,
-66,-58,-66,-61,-43,-67,-60,-66,3.5,4,,,,,,,,,
-60,-76,-70,-56,-43,-63,-62,-60,3.5,4,,,,,,,,,
-67,-58,-65,-61,-41,-64,-62,-57,3.5,4,,,,,,,,,
-59,-65,-61,-54,-45,-69,-62,-64,3.5,4,,,,,,,,,
-62,-67,-75,-56,-42,-64,-62,-58,3.5,4,,,,,,,,,
-62,-69,-72,-54,-44,-63,-61,-58,3.5,4,,,,,,,,,
-65,-76,-64,-56,-45,-64,-63,-62,3.5,4,,,,,,,,,
-65,-58,-64,-64,-42,-69,-61,-58,3.5,4,,,,,,,,,
-58,-65,-65,-53,-42,-73,-61,-64,3.5,4,,,,,,,,,
-61,-65,-73,-53,-42,-73,-60,-64,3.5,4,,,,,,,,,
-67,-74,-72,-53,-42,-79,-64,-63,3.5,4,,,,,,,,,
-67,-73,-70,-58,-44,-60,-64,-64,3.5,4,,,,,,,,,
-67,-72,-64,-57,-44,-60,-60,-64,3.5,4,,,,,,,,,
-66,-69,-72,-53,-45,-72,-59,-64,3.5,4,,,,,,,,,
-60,-78,-72,-56,-45,-60,-63,-64,3.5,4,,,,,,,,,
-59,-58,-64,-63,-42,-70,-60,-65,3.5,4,,,,,,,,,
-61,-68,-62,-53,-45,-61,-59,-63,3.5,4,,,,,,,,,
-67,-58,-71,-62,-45,-63,-61,-63,3.5,4,,,,,,,,,
-61,-72,-62,-62,-44,-63,-62,-63,3.5,4,,,,,,,,,
-66,-58,-64,-53,-42,-65,-60,-57,3.5,4,,,,,,,,,
-61,-67,-62,-62,-44,-63,-64,-65,3.5,4,,,,,,,,,
-66,-58,-73,-61,-43,-66,-61,-64,3.5,4,,,,,,,,,
-66,-58,-72,-53,-43,-65,-61,-57,3.5,4,,,,,,,,,
-59,-58,-74,-49,-42,-65,-61,-57,3.5,4,,,,,,,,,
-59,-65,-64,-56,-42,-69,-63,-57,3.5,4,,,,,,,,,
-66,-58,-62,-63,-44,-63,-61,-65,3.5,4,,,,,,,,,
-59,-67,-64,-57,-42,-65,-61,-57,3.5,4,,,,,,,,,
-61,-75,-72,-62,-44,-64,-61,-65,3.5,4,,,,,,,,,
-59,-68,-62,-56,-44,-69,-61,-57,3.5,4,,,,,,,,,
-65,-57,-71,-61,-42,-65,-60,-65,3.5,4,,,,,,,,,
-61,-75,-71,-53,-44,-68,-64,-64,3.5,4,,,,,,,,,
-59,-58,-65,-61,-42,-64,-61,-63,3.5,4,,,,,,,,,
-61,-74,-71,-56,-44,-63,-64,-64,3.5,4,,,,,,,,,
-59,-68,-63,-53,-44,-68,-64,-57,3.5,4,,,,,,,,,
-67,-57,-71,-56,-45,-68,-61,-57,3.5,4,,,,,,,,,
-59,-68,-64,-61,-45,-63,-61,-64,3.5,4,,,,,,,,,
-60,-67,-64,-53,-42,-65,-61,-64,3.5,4,,,,,,,,,
-59,-77,-62,-56,-44,-65,-63,-64,3.5,4,,,,,,,,,
-65,-57,-72,-61,-44,-68,-61,-57,3.5,4,,,,,,,,,
-59,-69,-62,-57,-44,-64,-64,-63,3.5,4,,,,,,,,,
-61,-76,-72,-56,-45,-65,-61,-64,3.5,4,,,,,,,,,
-65,-57,-63,-62,-42,-64,-60,-64,3.5,4,,,,,,,,,
-58,-67,-62,-53,-44,-65,-61,-64,3.5,4,,,,,,,,,
-62,-76,-62,-56,-42,-65,-63,-64,3.5,4,,,,,,,,,
-62,-76,-72,-56,-45,-68,-61,-57,3.5,4,,,,,,,,,
-65,-57,-72,-61,-42,-64,-61,-57,3.5,4,,,,,,,,,
-65,-57,-72,-61,-43,-64,-61,-57,3.5,4,,,,,,,,,
-59,-67,-64,-56,-44,-68,-63,-64,3.5,4,,,,,,,,,
-61,-57,-62,-56,-45,-68,-63,-63,3.5,4,,,,,,,,,
-61,-57,-62,-62,-42,-68,-64,-64,3.5,4,,,,,,,,,
-61,-57,-62,-64,-42,-64,-61,-57,3.5,4,,,,,,,,,
-65,-67,-72,-53,-44,-64,-61,-57,3.5,4,,,,,,,,,
-65,-78,-64,-56,-45,-64,-61,-64,3.5,4,,,,,,,,,
-59,-57,-59,-62,-42,-68,-61,-64,3.5,4,,,,,,,,,
-65,-57,-74,-53,-45,-63,-61,-57,3.5,4,,,,,,,,,
-65,-67,-63,-56,-45,-67,-62,-66,3.5,4,,,,,,,,,
-59,-74,-62,-62,-42,-67,-61,-66,3.5,4,,,,,,,,,
-59,-66,-64,-62,-42,-64,-62,-63,3.5,4,,,,,,,,,
-59,-71,-64,-62,-42,-69,-62,-63,3.5,4,,,,,,,,,
